name,time,area,energyPrice,usage,scale,price,nbFloors,production,consumption
building694,100.0,405.0468429519566,0.0,O,S,6.0,2.0,0.0,2397.3511185042344
building695,100.0,210.43515146511112,0.0,O,S,6.0,2.0,0.0,1482.4579053537757
building696,100.0,388.46534231192527,0.0,O,S,6.0,2.0,0.0,2323.094692886148
building697,100.0,2204.526588929828,0.0,R,L,3.0,6.0,0.0,243734.189433964
building698,100.0,456.51299537704097,0.0,R,L,3.0,6.0,0.0,68244.42800520179
building699,100.0,282.3809628339708,0.0,R,M,2.0,6.0,0.0,20170.837690266184
building700,100.0,373.4673920362444,0.0,R,M,2.0,6.0,0.0,24810.21415717247
building701,100.0,620.6386689826459,0.0,R,M,2.0,6.0,0.0,36585.31361803913
building702,100.0,910.8340698707631,0.0,R,M,2.0,6.0,0.0,49571.767248674594
building703,100.0,237.064370599594,0.0,O,L,10.0,6.0,0.0,8074.179100093578
building704,100.0,458.5182643907158,0.0,O,M,7.0,6.0,0.0,7900.68412804431
building705,100.0,492.9764373068676,0.0,R,S,1.0,3.0,0.0,6958.6230253522635
building706,100.0,1029.0601877842255,0.0,R,S,1.0,3.0,0.0,12432.359213605765
building707,100.0,584.8709391092723,0.0,R,S,1.0,3.0,0.0,7939.380930796961
building708,100.0,875.4874651678902,0.0,R,S,1.0,3.0,0.0,10914.20818692802
building709,100.0,279.1757446728283,0.0,R,M,2.0,6.0,0.0,20003.080798798186
building710,100.0,539.9989701587514,0.0,R,M,2.0,6.0,0.0,32839.797507293806
building711,100.0,222.2948625830297,0.0,O,S,6.0,2.0,0.0,1541.8033363103248
building712,100.0,145.7943999781809,0.0,O,S,6.0,2.0,0.0,1145.1069362234866
building713,100.0,662.5450709438743,0.0,O,S,6.0,2.0,0.0,3500.35287076801
building714,100.0,463.41055669395325,0.0,R,M,2.0,7.0,0.0,34071.81091464085
building715,100.0,461.14610046214244,0.0,R,M,2.0,7.0,0.0,33944.840000632874
building716,100.0,316.80811200576727,0.0,R,M,2.0,7.0,0.0,25610.267266946055
building717,100.0,119.83884693783853,0.0,O,S,6.0,2.0,0.0,1000.6847758062984
building718,100.0,775.4617783512422,0.0,O,L,10.0,7.0,0.0,23118.194237225252
building719,100.0,214.76975689966113,0.0,O,L,10.0,7.0,0.0,8774.641319772325
building720,100.0,116.22437541234709,0.0,O,L,10.0,7.0,0.0,5716.765404195202
building721,100.0,130.97060263073394,0.0,O,L,10.0,7.0,0.0,6203.362591033912
building722,100.0,832.7878256629313,0.0,R,L,3.0,6.0,0.0,109059.38122142115
building723,100.0,510.361672521818,0.0,R,L,3.0,6.0,0.0,74319.80105662771
building724,100.0,256.88127640604813,0.0,R,L,3.0,6.0,0.0,44497.70284147111
building725,100.0,282.6537157795337,0.0,O,M,7.0,7.0,0.0,6422.530826392654
building726,100.0,321.622373136704,0.0,R,L,3.0,6.0,0.0,52467.59030376836
building727,100.0,254.34307835791373,0.0,R,L,3.0,6.0,0.0,44178.10525148041
building728,100.0,844.3424448693194,0.0,O,L,10.0,7.0,0.0,24739.144432145757
building729,100.0,741.2077565831446,0.0,O,L,10.0,7.0,0.0,22305.21894440271
building730,100.0,89.33690484362872,0.0,O,S,6.0,3.0,0.0,1231.2312070718813
building731,100.0,1819.7801350663651,0.0,O,S,6.0,3.0,0.0,11951.359692128997
building732,100.0,162.90954159670832,0.0,O,S,6.0,3.0,0.0,1855.662662819975
building733,100.0,256.1551046699369,0.0,O,S,6.0,5.0,0.0,4269.839293583095
building734,100.0,129.04584014910364,0.0,O,S,6.0,5.0,0.0,2631.6910330417
building735,100.0,306.117673435586,0.0,O,S,6.0,5.0,0.0,4864.229382390491
building736,100.0,607.9087036429711,0.0,O,M,7.0,6.0,0.0,9817.893554271195
building737,100.0,2193.916547486916,0.0,O,M,7.0,6.0,0.0,28007.72119807636
building738,100.0,321.89774797155144,0.0,O,M,7.0,5.0,0.0,5048.156274126349
building739,100.0,403.00096726685763,0.0,O,M,7.0,5.0,0.0,5970.541726611902
building740,100.0,240.19489100206758,0.0,R,S,1.0,3.0,0.0,4075.497940442128
building741,100.0,182.94224656476138,0.0,R,S,1.0,3.0,0.0,3355.3783774115977
building742,100.0,279.5320220943322,0.0,R,S,1.0,3.0,0.0,4550.3966970285
building743,100.0,92.59025740352797,0.0,R,S,1.0,3.0,0.0,2101.665215938195
building744,100.0,98.92367654432567,0.0,R,S,1.0,3.0,0.0,2196.997008053935
building745,100.0,95.64373494542934,0.0,R,S,1.0,3.0,0.0,2147.8263117168326
building746,100.0,158.2306727828791,0.0,R,S,1.0,3.0,0.0,3030.450106624014
building747,100.0,111.79390667041999,0.0,R,S,1.0,3.0,0.0,2386.1764036826266
building748,100.0,101.314474557374,0.0,R,S,1.0,3.0,0.0,2232.580064946379
building749,100.0,103.83640678247761,0.0,R,S,1.0,3.0,0.0,2269.8884625195697
building750,100.0,127.38084000940357,0.0,R,S,1.0,3.0,0.0,2608.351808416736
building751,100.0,159.9872484521761,0.0,R,S,1.0,3.0,0.0,3053.893998681642
building752,100.0,200.61696898819272,0.0,R,S,1.0,3.0,0.0,3582.0352463543336
building753,100.0,168.12230700531885,0.0,R,S,1.0,3.0,0.0,3161.744184276921
building754,100.0,145.40863507138832,0.0,R,S,1.0,3.0,0.0,2857.5158332855367
building755,100.0,2167.075593544052,0.0,O,L,10.0,7.0,0.0,53891.116357382874
building756,100.0,635.365181686141,0.0,R,M,2.0,6.0,0.0,37261.532844486625
building757,100.0,652.1357796445488,0.0,R,M,2.0,6.0,0.0,38028.94365258266
building758,100.0,626.3520051818654,0.0,R,M,2.0,6.0,0.0,36847.92698867176
building759,100.0,163.9154945531695,0.0,R,M,2.0,6.0,0.0,13666.921294127358
building760,100.0,134.6538704736688,0.0,R,S,1.0,6.0,0.0,5419.584916864894
building761,100.0,282.3126811379879,0.0,R,S,1.0,6.0,0.0,9166.939821524054
building762,100.0,435.83820828971045,0.0,R,M,2.0,6.0,0.0,27873.38743771991
building763,100.0,407.7055745686202,0.0,R,M,2.0,4.0,0.0,17667.543760123277
building764,100.0,295.19169687785484,0.0,R,S,1.0,6.0,0.0,9471.762643671698
building765,100.0,330.20544216226017,0.0,O,M,7.0,5.0,0.0,5144.340188361618
building766,100.0,142.77435703420713,0.0,O,M,7.0,5.0,0.0,2821.569902386255
building767,100.0,275.9878945502823,0.0,O,M,7.0,5.0,0.0,4508.154029230919
building768,100.0,263.909444628796,0.0,R,M,2.0,6.0,0.0,19199.037552421396
building769,100.0,267.8096233013076,0.0,R,M,2.0,6.0,0.0,19405.26292341708
building770,100.0,196.98281294231185,0.0,R,M,2.0,6.0,0.0,15557.444712991419
building771,100.0,194.482516511538,0.0,R,S,1.0,6.0,0.0,7007.717732604004
building772,100.0,227.89257778340883,0.0,R,S,1.0,6.0,0.0,7847.962988854897
building773,100.0,132.3217586273015,0.0,R,M,2.0,6.0,0.0,11780.592660612816
building774,100.0,180.24453890980755,0.0,R,S,1.0,6.0,0.0,6640.775986719168
building775,100.0,666.9078657130418,0.0,R,S,1.0,6.0,0.0,17592.105567575723
building776,100.0,165.30524344832446,0.0,R,M,2.0,6.0,0.0,13747.926782473907
building777,100.0,320.5872164838676,0.0,R,S,1.0,6.0,0.0,10065.886958911457
building778,100.0,118.12164898247738,0.0,R,M,2.0,6.0,0.0,10899.730570704454
building779,100.0,165.7485250568721,0.0,R,S,1.0,6.0,0.0,6260.787925821242
building780,100.0,185.85553102518318,0.0,O,S,6.0,6.0,0.0,4071.6510634804517
building781,100.0,251.77103500900162,0.0,O,S,6.0,3.0,0.0,2530.016711172005
